Fechas,Llamadas
15/04/2021,17678
16/04/2021,17666
17/04/2021,14307
18/04/2021,10396
19/04/2021,18382
20/04/2021,18723
21/04/2021,17914
22/04/2021,16997
23/04/2021,17261
24/04/2021,13733
25/04/2021,9743
26/04/2021,19079
27/04/2021,18723
28/04/2021,18272
29/04/2021,17513
30/04/2021,18721
01/05/2021,14015
02/05/2021,9810
03/05/2021,18747
04/05/2021,20560
05/05/2021,20874
06/05/2021,19864
07/05/2021,19267
08/05/2021,15870
09/05/2021,10437
10/05/2021,19634
11/05/2021,20068
12/05/2021,17695
13/05/2021,14907
14/05/2021,15839
15/05/2021,12724
16/05/2021,8990
17/05/2021,17136
18/05/2021,17616
19/05/2021,16300
20/05/2021,16201
21/05/2021,15757
22/05/2021,12545
23/05/2021,11044
24/05/2021,15145
25/05/2021,16362
26/05/2021,15551
27/05/2021,15391
28/05/2021,15900
29/05/2021,12960
30/05/2021,9005
31/05/2021,12532
01/06/2021,17043
02/06/2021,17121
03/06/2021,16999
04/06/2021,16973
05/06/2021,13461
06/06/2021,8960
07/06/2021,16314
